Stock,Side,Entry,StopLoss,Target,Confidence,Strategy,StrategyType,Timestamp,Notes,Action,ExitRule
RELIANCE.NS,BUY,1373.7,1368.21,1384.69,0.92,market_structure_orderblock,intraday,2025-10-09T12:36:46.950365+05:30,"{'last_peak_idx': 376, 'last_trough_idx': 359, 'peak_price': 1393.3, 'trough_price': 1359.0, 'zone_range': 34.3, 'buy_threshold': 1368.3639, 'sell_threshold': 1383.9361, 'atr': 6.471436, 'last_close': 1373.7, 'move_pct': -0.2034}",,
BHARTIARTL.NS,BUY,1941.2,1933.44,1956.73,0.86,market_structure_orderblock,intraday,2025-10-09T12:36:47.805241+05:30,"{'last_peak_idx': 327, 'last_trough_idx': 351, 'peak_price': 1945.6, 'trough_price': 1862.8, 'zone_range': 82.7999, 'buy_threshold': 1885.4044, 'sell_threshold': 1922.9956, 'atr': 11.271441, 'last_close': 1941.2, 'move_pct': -0.0258}",,
RELIANCE.NS,BUY,1371.0,1365.52,1381.97,0.98,market_structure_orderblock,intraday,2025-10-09T12:41:08.739929+05:30,"{""last_peak_idx"": 376, ""last_trough_idx"": 359, ""peak_price"": 1393.3, ""trough_price"": 1359.0, ""zone_range"": 34.3, ""buy_threshold"": 1368.3639, ""sell_threshold"": 1383.9361, ""atr"": 6.621434, ""last_close"": 1371.0, ""move_pct"": -0.3996}",,
BHARTIARTL.NS,BUY,1936.5,1928.75,1951.99,0.94,market_structure_orderblock,intraday,2025-10-09T12:41:10.628507+05:30,"{""last_peak_idx"": 327, ""last_trough_idx"": 351, ""peak_price"": 1945.6, ""trough_price"": 1862.8, ""zone_range"": 82.7999, ""buy_threshold"": 1885.4044, ""sell_threshold"": 1922.9956, ""atr"": 11.514291, ""last_close"": 1936.5, ""move_pct"": -0.2678}",,
SBIN.NS,SELL,858.25,845.38,871.12,0.5,closing_near_highlow_refined,daily,2025-10-09T12:41:11.537203+05:30,,ENTER,Target/Stop or manual exit
SBIN.NS,SELL,859.4,855.96,866.28,0.93,market_structure_orderblock,intraday,2025-10-09T12:41:11.542218+05:30,"{""last_peak_idx"": 370, ""last_trough_idx"": 356, ""peak_price"": 874.1, ""trough_price"": 863.05, ""zone_range"": 11.05, ""buy_threshold"": 866.0666, ""sell_threshold"": 871.0833, ""atr"": 4.349997, ""last_close"": 859.4, ""move_pct"": -0.2264}",,
TATAMOTORS.NS,SELL,673.2,670.51,678.59,0.89,market_structure_orderblock,intraday,2025-10-09T12:41:12.331980+05:30,"{""last_peak_idx"": 358, ""last_trough_idx"": 344, ""peak_price"": 722.3, ""trough_price"": 669.4, ""zone_range"": 52.9, ""buy_threshold"": 683.8417, ""sell_threshold"": 707.8583, ""atr"": 5.467861, ""last_close"": 673.2, ""move_pct"": 0.119}",,
TATAMOTORS.NS,SELL,673.2,670.51,678.59,0.58,orb_trend_filter,intraday,2025-10-09T12:41:12.341258+05:30,,,
TATASTEEL.NS,BUY,175.75,175.05,177.16,0.91,market_structure_orderblock,intraday,2025-10-09T12:41:13.091101+05:30,"{""last_peak_idx"": 359, ""last_trough_idx"": 368, ""peak_price"": 174.13, ""trough_price"": 169.94, ""zone_range"": 4.19, ""buy_threshold"": 171.0839, ""sell_threshold"": 172.9861, ""atr"": 1.624286, ""last_close"": 175.75, ""move_pct"": -0.1704}",,
INFY.NS,BUY,1495.0,1472.58,1517.42,0.61,closing_near_highlow_refined,daily,2025-10-09T12:41:14.113176+05:30,,ENTER,Target/Stop or manual exit
